event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CHN4405,"30 June 2020",2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (China)","Five Demands Movement",6,"Police Forces of China (2017-) Hong Kong Police Force",,1,16,,156,"East Asia",China,"Hong Kong","Kwun Tong",,"Hong Kong - Kwun Tong",22.3109,114.2233,1,RTHK,Subnational,"On 30 June 2020, dozens of people held a 'Lunch with You' rally at apm mall in Kwun Tong District (Hong Kong). They chanted slogans calling 'Hong Kong independence, the only way out' and played anti-ELAB songs during the demonstration. They also called on the public to participate in the protest rally to be held the next day. Riot police entered the mall and warned the crowd that they were participating in an illegal assembly. 4 people (3 men, 1 women) were arrested by the police after the crowd had refused to disperse.",0,"crowd size=dozens",1611094735
CHN4410,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Students (China)",6,,,0,60,,156,"East Asia",China,"Hong Kong","Tai Po",,"Hong Kong - Tai Po",22.4434,114.1646,1,"The Stand News",Subnational,"On 30 June 2020, more than 30 students and alumni from three middle schools held a 'Back to School with You' rally in Tai Po District. They silently marched from Fu Shin Shopping Centre to their respective schools, only chanting ant-ELAB and pro-independence slogans upon reaching the schools. It was reported that teachers and principals were present at Fu Shin Shopping Centre urging the students not to participate in the march.",0,"crowd size=more than 30",1611094736
CHN4440,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)",,6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,"Wen Wei Po",Subnational,"On 30 June 2020, at least 8 members of the 'Tuen Mun Joint Alliance' protested outside the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong), against the alleged 'slander' of Hong Kong's national security law by the United States. They condemned the US government's interference in the internal affairs of China and Hong Kong, and expressed support counter-measures to be introduced by the Chinese government.",0,"crowd size=at least 8",1611094737
CHN4409,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)",,6,,,0,60,,156,"East Asia",China,"Hong Kong",,,"Hong Kong",22.3222,114.177,3,"Wen Wei Po",Subnational,"On 30 June 2020, the pro-Beijing group 'China Heart' held flash mob events across all 18 districts in Hong Kong, after the National People's Congress had voted unanimously to legislate the national security law in Hong Kong. They held placards, waved the Hong Kong flag and Chinese national flag and sang the national anthem, in support of the newly-enacted national security law.",0,"crowd size=no report",1618442046
CHN4419,"30 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Guangdong,Shenzhen,,Shenzhen,22.5446,114.0545,2,"CLB (China)",Other,"Around 30 June 2020 (as reported), up to 100 employees demonstrated in Shenzhen City, Guangdong Province against wage arrears owed to them by an electronics company. It was reported that the police and ambulance were present at the scene, but no further reports were provided on whether they intervened in the demonstration.",0,"crowd size=up to 100",1621988653
CHN4417,"29 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Jiangsu,Suzhou,Zhangjiagang,Zhangjiagang,31.8754,120.5559,1,"CLB (China)",Other,"Around 29 June 2020 (as reported), up to 100 employees demonstrated in Zhangjiagang City (Suzhou City, Jiangsu Province) against wage arrears owed to them by a mask factory.",0,"crowd size=up to 100",1618500559
CHN4390,"29 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Sichuan,Chengdu,Wuhou,Wuhou,30.642,104.0434,2,"CLB (China)",Other,"Around 29 June 2020 (as reported), up to 100 migrant workers demonstrated in Chengdu City, Sichuan Province against wage arrears owed to them by a real estate development company.",0,"crowd size=up to 100",1618500559
CHN4391,"29 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Henan,Xinyang,Shihe,Shihe,32.1168,114.0586,1,"CLB (China)",Other,"Around 29 June 2020 (as reported), up to 100 migrant workers demonstrated in Shihe District (Xinyang City, Henan Province) against wage arrears owed to them by a construction project.",0,"crowd size=up to 100",1618500559
CHN4402,"29 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Five Demands Movement; Students (China)",6,,,0,60,,156,"East Asia",China,"Hong Kong","Tai Po",,"Hong Kong - Tai Po",22.4434,114.1646,1,"Apple Daily Hong Kong",Subnational,"On 29 June 2020, student unions of eight universities and more than 10 members of the public gathered for a memorial service held at The Education University of Hong Kong in Tai Po District (Hong Kong), for the first death anniversary of an alumnus who died during an anti-ELAB demonstration. They sang the anti-ELAB protest anthem 'Glory to Hong Kong', and presented notes and paper cranes at the altar dedicated to the deceased.",0,"crowd size=at least more than 10",1611094731
CHN4404,"29 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Government of China (2017-) Hong Kong Special Administrative Region",6,,,0,60,,156,"East Asia",China,"Hong Kong","Kwun Tong",,"Hong Kong - Kwun Tong",22.3109,114.2233,1,RTHK,Subnational,"On 29 June 2020, a group of district councillors and owners of 'Green Form' subsidised housing demonstrated at the Green Form Subsidised Home Ownership Scheme sales office in Kwun Tong District (Hong Kong), stating that the 'Green Form' subsidised housing by the Housing Authority had poor materials and poor management in recent years. They called on the public not to buy 'Green Form' subsidised housing.",0,"crowd size=a group",1611094735
CHN4401,"29 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)",,6,,,0,60,,156,"East Asia",China,"Hong Kong",Eastern,,"Hong Kong - Eastern",22.2821,114.2213,1,"The Stand News",Subnational,"On 29 June 2020, a large number of people gathered outside the Eastern Magistrates' Courts in Eastern District (Hong Kong), in solidarity with two defendants who were appearing in court for their charges for illegal assembly and for obstructing the police during the anti-ELAB demonstrations last year. They held placards with words of encouragement during the demonstration.",0,"crowd size=a large number",1611094736
CHN4408,"29 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Civil Force (Hong Kong)",6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,"Wen Wei Po",Subnational,"On 29 June 2020, at least 7 members of Civil Force demonstrated outside the government headquarters in Central and Western District (Hong Kong), urging the government to follow up on the implementation of the 'health code', which would be mutually recognized by Hong Kong, Macau and Guangdong. They also called on the government to provide assistance to those who need testing for the coronavirus, which cost more than 10 times than that in Macau or Mainland China.",0,"crowd size=at least 7",1611094737
CHN4439,"29 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)",,6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,"Wen Wei Po",Subnational,"On 29 June 2020, members of the 'Anti-US Hegemony Alliance' demonstrated outside the Office of the Commissioner of the Ministry of Foreign Affairs of the People's Republic of China in the Hong Kong Special Administrative Region in Central and Western District (Hong Kong). They urged the Chinese government to impose counter-sanctions and prohibit the entry of US senators, in response to the 'Hong Kong Autonomy Act' passed by the US Senate on 25 June 2020.",0,"crowd size=no report",1611094737
CHN4385,"29 June 2020",2020,1,Demonstrations,Riots,"Violent demonstration","Rioters (China)",,5,"Police Forces of China (2012-)","Private Security Forces (China)",1,15,,156,"East Asia",China,Beijing,Changping,Changping,Changping,40.2196,116.2318,2,"Radio Free Asia; Epoch Times",International,"On 29 June 2020, 100-200 villagers demonstrated in Wayao Village in Changping District (Beijing) against the forced demolition of their villagers. During the demonstration, villagers blocked the entry point into their village, chanted slogans, threw rocks and spray fire extinguishers towards thousands of private security personnel and armed police from the public security bureau. The police and security personnel beat up demonstrators and fired pepper spray towards the crowd. Many people were reportedly injured and bleeding. A female demonstrator was reportedly pushed to the ground by the police, who then stepped on her, causing injuries in her leg. More than a dozen people were arrested.",0,"crowd size=100-200",1618500554
CHN4374,"29 June 2020",2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (China)",,6,"Police Forces of China (2012-)",,1,16,,156,"East Asia",China,Chongqing,Yubei,Yubei,Yubei,29.7181,106.6312,1,CRLW,Other,"On 29 June 2020, more than 30 human rights activists gathered at Chongqing Yubei People's Court in Yubei District (Chongqing), in solidarity with two human rights defenders who were appearing in court for a case against the public security bureau for assaulting civilians on the grounds of maintaining stability. It was reported that the activists who gathered outside the court were intercepted and beaten by community security personnel.",0,"crowd size=more than 30",1680633497
CHN4388,"28 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Shaanxi,Xian,Yanta,Yanta,34.2141,108.9447,1,"CLB (China)",Other,"Around 28 June 2020 (as reported), up to 100 employees demonstrated in Gaoxin 4th Road in Yanta District (Xi'an City, Shaanxi Province) against wage arrears owed to them by a fitness centre.",0,"crowd size=up to 100",1618500589
CHN4389,"28 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Shandong,Jinan,Huaiyin,Huaiyin,36.6514,116.9012,2,"CLB (China)",Other,"Around 28 June 2020 (as reported), up to 100 migrant workers demonstrated in Jinan City, Shandong Province against wage arrears owed to them by a landscaping company. It was reported that wages of 70 workers had been owed since March 2019.",0,"crowd size=up to 100",1618500589
CHN4387,"28 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Jiangsu,Yancheng,Tinghu,Tinghu,33.3915,120.1399,2,"CLB (China)",Other,"Around 28 June 2020 (as reported), between 101 and 1000 taxi drivers demonstrated in Yancheng City, Jiangsu Province against the policy by the Ministry of Transport of the People's Republic of China to replace more than 600 self-funded taxis with electric cars.",0,"crowd size=between 101 and 1000",1618500589
CHN4415,"28 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Henan,Shangqiu,Yucheng,Yucheng,34.4025,115.8405,1,"CLB (China)",Other,"Around 28 June 2020 (as reported), up to 100 employees demonstrated in Yucheng County (Shangqiu City, Henan Province) against wage arrears owed to them by a food company. It was reported that a large number of employees had been suspended without notice since October 2019.",0,"crowd size=up to 100",1618500589
CHN4416,"28 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Hunan,Changsha,Yuelu,Yuelu,28.2351,112.9313,2,"CLB (China)",Other,"Around 28 June 2020 (as reported), up to 100 migrant workers demonstrated in Changsha City, Hunan Province against wage arrears owed to them by a construction project. They pulled banners across the entrance of the construction site during the demonstration.",0,"crowd size=up to 100",1618500589
CHN4403,"28 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)",,6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,"Ta Kung Pao; RTHK",Subnational,"On 28 June 2020, dozens to nearly 30 members of the pro-establishment group 'Together Hong Kong' marched from Chater Garden to the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong), in support of the legislation of the national security law in Hong Kong. They also protested against the passing of the Hong Kong Autonomy Act and the alleged interference of the US government in the internal affairs of Hong Kong. During the demonstration, they chanted slogans calling for the US president to step down and demanding that the Hong Kong government restrict entry of US officials who intervened with Hong Kong affairs.",0,"crowd size=dozens to nearly 30",1611094729
CHN4395,"28 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Extinction Rebellion",6,,,0,60,,156,"East Asia",China,"Hong Kong","Wan Chai",,"Hong Kong - Wan Chai",22.2776,114.175,1,HKFP,Subnational,"On 28 June 2020, members of Extinction Rebellion Hong Kong staged a 'die-in' protest at Happy Valley Cemetery in Wan Chai District (Hong Kong), to raise awareness of the dangers of air pollution and the global climate crisis. They placed 35 shoes on the ground of the cemetery to represent the number of people killed each week due to air pollution in the city. This was the first of two demonstrations staged by the group on the same day.",0,"crowd size=no report",1680633592
CHN4396,"28 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Extinction Rebellion",6,,,0,60,,156,"East Asia",China,"Hong Kong","Yau Tsim Mong",,"Hong Kong - Yau Tsim Mong",22.3201,114.1692,1,HKFP,Subnational,"On 28 June 2020, at least 4 members of Extinction Rebellion Hong Kong demonstrated in Mong Kok, Yau Tsim Mong District (Hong Kong), to raise awareness of the dangers of air pollution and the global climate crisis. They held two large banners highlighting that 35 people are killed each week in Hong Kong due to air pollution. This was the second of two demonstrations staged by the group on the same day.",0,"crowd size=at least 4",1680633592
CHN4384,"28 June 2020",2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (China)","Five Demands Movement; Government of China (2017-) Hong Kong Special Administrative Region; Civilians (China); Journalists (China)",6,"Police Forces of China (2012-)",,1,16,,156,"East Asia",China,"Hong Kong","Yau Tsim Mong",,"Hong Kong - Yau Tsim Mong",22.3201,114.1692,1,"HK01; Radio Free Asia; South China Morning Post",Subnational-Regional,"On 28 June 2020, demonstrators held a protest march from Jordan MTR Station to Langham Place in Yau Tsim Mong District (Hong Kong), to oppose the legislation of the national security law in Hong Kong. They chanted anti-ELAB slogans, and called for the public to participate in the demonstration at Victoria Park on 1 July 2020. Riot police at the scene repeatedly issued warnings to the demonstrators to disperse, who continued chanting slogans despite the warnings. Pepper spray were fired multiple times throughout the demonstration, with an officer briefly firing pepper spray at journalists on Sai Yeung Choi Street South on the grounds that they were obstructing the police. A total of 53 people (including two district councillors) were arrested.",0,"crowd size=at least 53",1687985750
CHN4568,"27 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Hunan,Yueyang,Yueyanglou,Yueyanglou,29.3719,113.1297,2,"CLB (China)",Other,"Around 27 June 2020 (as reported), 1-100 employees from a restaurant in Yueyang City (Hunan) blocked the car of the restaurant owner to protest a sudden lay-off of around 10 cooks and to demand wage arrears owed by him to more than 70 employees since January 2020. The local arbitration office had issue an decision and ordered the restaurant owner to pay by 30 May 2020, but he had not.",0,"crowd size=1-100",1618500627
CHN4570,"26 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Shanxi,Taiyuan,Xiaodian,Xiaodian,37.7367,112.5658,1,"CLB (China)",Other,"Around 26 June 2020 (as reported), at least 8 workers protested at a construction company's site at an airport that was being built in Xiaodian District (Taiyuan, Shanxi) to demand wage arrears owed by the company.",0,"crowd size=at least 8",1618500660
CHN4371,"26 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Catholic Christian Group (China)",6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,Inmediahk.net,Subnational,"On 26 June 2020, at least 3 groups concerned with right of abode for children (accompanied by a Catholic priest) demonstrated at the Immigration Department and government headquarters in Central and Western District (Hong Kong), urging the government to hold a meeting with them as soon as possible to grant the right of abode for more than 70,000 children over the age of 14. They chanted slogans during the demonstration.",0,"crowd size=at least 3 groups",1611094733
CHN4369,"26 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China); Government of China (2017-) Hong Kong Special Administrative Region",6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,RTHK,Subnational,"On 26 June 2020, 12 trade union representatives and district councillors protested in several consulates of G20 member countries and Taipei Economic and Cultural Office in Central and Western District (Hong Kong), to express their opposition to the national security law. They stated that the national security law violates the Basic Law and the 'One Country, Two Systems'.",0,"crowd size=12",1611094735
CHN4370,"26 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)",,6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,RTHK,Subnational,"On 26 June 2020, about 30 people held a protest march from Charter Garden to the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong), to express their opposition to the Hong Kong Autonomy Act passed by the US Senate. They criticized the US government for double standards, interfering in the affairs of Hong Kong, and attempted to obstruct the legislation of the national security law.",0,"crowd size=about 30",1611094735
CHN4372,"26 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Five Demands Movement",6,,,0,60,,156,"East Asia",China,"Hong Kong","Kwun Tong",,"Hong Kong - Kwun Tong",22.3109,114.2233,1,"The Stand News",Subnational,"On 26 June 2020, more than 20 people gathered outside the Kwun Tong Magistrates' Courts in Kwun Tong District (Hong Kong), in solidarity ahead of the court hearing of a stage designer who was charged for attacking a policeman and possessing offensive weapons in public places during the anti-ELAB demonstrations last year. After the court ruled that the defendant was not guilty, the group chanted slogans and held up the gesture calling for the five demands.",0,"crowd size=more than 20",1611094736
CHN4367,"25 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Five Demands Movement; LSD: League of Social Democrats",6,,,0,60,,156,"East Asia",China,"Hong Kong","Sham Shui Po",,"Hong Kong - Sham Shui Po",22.3289,114.1586,1,"Apple Daily Hong Kong",Subnational,"On 25 June 2020, about 60 people (including a member of the League of Social Democrats) gathered outside Lai Chi Kok Reception Centre in Sham Shui Po District (Hong Kong), in solidarity with the people who had been arrested during the anti-ELAB demonstrations. They held banners with anti-ELAB slogans and chanted slogans to continue the resistance. Later in the evening, about 40 people continued demonstrating around the district, calling for 'Hong Kong independence'. Police arrived at the scene to cordon off the area around Comweb Plaza, warning the crowd that they were participating in an illegally assembly before driving away.",0,"crowd size=about 60",1611094731
CHN4364,"25 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","LSD: League of Social Democrats",6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,RTHK,Subnational,"On 25 June 2020, more than a dozen members of the League of Social Democrats held a protest march from the Western Police Station to the Hong Kong Liaison Office in Central and Western District (Hong Kong), to protest against the national security law. Dozens of police officers were on alert at the scene and issued a warning to the demonstrators.",0,"crowd size=more than a dozen",1611094735
CHN4365,"25 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,RTHK,Subnational,"On 25 June 2020, 5 members of the Yuen Long branch of the Hong Kong Chinese Industry & Commerce Association demonstrated outside the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong), criticising the US government for interfering in the internal affairs of China by revoking the special treatment granted to Hong Kong. They held slogans in support of the national security law.",0,"crowd size=5",1611094735
CHN4366,"25 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)",,6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,"Wen Wei Po",Subnational,"On 25 June 2020, 50 people (including the chairperson of the group 'China Heart') held an event at Tamar Park in Central and Western District (Hong Kong), ahead of the anniversary of the handover of Hong Kong on 1st July. They held up a large Chinese national flag in support of the 'One Country, Two Systems' and the legislation of the national security law.",0,"crowd size=50",1611094737
CHN4363,"25 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Beijing,,,Beijing,39.9062,116.3913,3,"CLB (China)",Other,"Around 25 June 2020 (as reported), up to 100 migrant workers demonstrated in Beijing against wage arrears owed to them by a construction project. It was reported that the workers called the police to the construction site, but the police did not intervene to mediate on the grounds that the labour dispute was not under the jurisdiction of the police.",0,"crowd size=up to 100",1618442046
CHN4368,"25 June 2020",2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (China)","Five Demands Movement; Government of China (2017-) Hong Kong Special Administrative Region",6,"Police Forces of China (2017-) Hong Kong Police Force",,1,16,,156,"East Asia",China,"Hong Kong","Yuen Long",,"Hong Kong - Yuen Long",22.4452,114.023,1,"South China Morning Post",Subnational,"On 25 June 2020, protesters marched around YOHO Mall in Yuen Long District (Hong Kong) to protest against the impending national security law. They chanted slogans and held banners with anti-ELAB slogans, and marched around the mall chanting 'Give me back my justice'. During the demonstration, two protesters waving colonial flag and chanting slogans were taken away by plainclothes police officers. The police then fired pepper spray to keep demonstrators at bay. A pro-democracy district councillor was reportedly hit by the pepper spray. At least 14 people (9 men, 5 women) were arrested.",0,"crowd size=at least 14",1687985750
CHN4362,"24 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Jiangsu,Nanjing,Qixia,Qixia,32.0963,118.9092,1,"CLB (China)",Other,"Around 24 June 2020 (as reported), nearly 100 employees demonstrated in the Nanjing Economic and Technological Development Zone located in Qixia District (Nanjing City, Jiangsu Province) against wage arrears owed to them by an automobile company. It was reported that more than 1,000 employees were owed wage arrears for three months, amounting to RMB 90 million.",0,"crowd size=nearly 100",1618500721
CHN4571,"24 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Jilin,Changchun,Chaoyang,Chaoyang,43.8334,125.2879,2,"CLB (China)",Other,"Around 24 June 2020 (as reported), at least 10 workers protested at an estate developing company's site in Changchun City (Jilin) to demand wages arrears.",0,"crowd size=at least 10",1618500720
CHN4360,"24 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Five Demands Movement",6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,"Apple Daily Hong Kong",Subnational,"On 24 June 2020, more than 20 people held a 'Lunch with You, Write with You' rally at IFC Mall in Central and Western District (Hong Kong). They chanted slogans, sang the anti-ELAB protest anthem 'Glory to Hong Kong' and called for the five demands. A demonstrator also waved the Hong Kong colonial-era flag during the demonstration. Some demonstrators also wrote letters to convicted demonstrators currently serving their jail term, encouraging them to hold on to their ideals.",0,"crowd size=more than 20",1611094731
