,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,inter2,interaction,iso,region,country,admin1,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,related_ep
36,CHN4371,2020-06-26,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Catholic Christian Group (China),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 26 June 2020, at least 3 groups concerned with right of abode for children (accompanied by a Catholic priest) demonstrated at the Immigration Department and government headquarters in Central and Western District (Hong Kong), urging the government to hold a meeting with them as soon as possible to grant the right of abode for more than 70,000 children over the age of 14. They chanted slogans during the demonstration.",0,crowd size=at least 3 groups,1611094733,no
37,CHN4369,2020-06-26,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China); Government of China (2017-) Hong Kong Special Administrative Region,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,RTHK,Subnational,"On 26 June 2020, 12 trade union representatives and district councillors protested in several consulates of G20 member countries and Taipei Economic and Cultural Office in Central and Western District (Hong Kong), to express their opposition to the national security law. They stated that the national security law violates the Basic Law and the 'One Country, Two Systems'.",0,crowd size=12,1611094735,no
38,CHN4370,2020-06-26,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,RTHK,Subnational,"On 26 June 2020, about 30 people held a protest march from Charter Garden to the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong), to express their opposition to the Hong Kong Autonomy Act passed by the US Senate. They criticized the US government for double standards, interfering in the affairs of Hong Kong, and attempted to obstruct the legislation of the national security law.",0,crowd size=about 30,1611094735,no
39,CHN4372,2020-06-26,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Kwun Tong,22.3109,114.2233,1,The Stand News,Subnational,"On 26 June 2020, more than 20 people gathered outside the Kwun Tong Magistrates' Courts in Kwun Tong District (Hong Kong), in solidarity ahead of the court hearing of a stage designer who was charged for attacking a policeman and possessing offensive weapons in public places during the anti-ELAB demonstrations last year. After the court ruled that the defendant was not guilty, the group chanted slogans and held up the gesture calling for the five demands.",0,crowd size=more than 20,1611094736,yes
40,CHN4367,2020-06-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement; LSD: League of Social Democrats,6,0,60,156,East Asia,China,Hong Kong,Sham Shui Po,22.3289,114.1586,1,Apple Daily Hong Kong,Subnational,"On 25 June 2020, about 60 people (including a member of the League of Social Democrats) gathered outside Lai Chi Kok Reception Centre in Sham Shui Po District (Hong Kong), in solidarity with the people who had been arrested during the anti-ELAB demonstrations. They held banners with anti-ELAB slogans and chanted slogans to continue the resistance. Later in the evening, about 40 people continued demonstrating around the district, calling for 'Hong Kong independence'. Police arrived at the scene to cordon off the area around Comweb Plaza, warning the crowd that they were participating in an illegally assembly before driving away.",0,crowd size=about 60,1611094731,yes
41,CHN4364,2020-06-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),LSD: League of Social Democrats,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,RTHK,Subnational,"On 25 June 2020, more than a dozen members of the League of Social Democrats held a protest march from the Western Police Station to the Hong Kong Liaison Office in Central and Western District (Hong Kong), to protest against the national security law. Dozens of police officers were on alert at the scene and issued a warning to the demonstrators.",0,crowd size=more than a dozen,1611094735,no
42,CHN4365,2020-06-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,RTHK,Subnational,"On 25 June 2020, 5 members of the Yuen Long branch of the Hong Kong Chinese Industry & Commerce Association demonstrated outside the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong), criticising the US government for interfering in the internal affairs of China by revoking the special treatment granted to Hong Kong. They held slogans in support of the national security law.",0,crowd size=5,1611094735,no
43,CHN4366,2020-06-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Wen Wei Po,Subnational,"On 25 June 2020, 50 people (including the chairperson of the group 'China Heart') held an event at Tamar Park in Central and Western District (Hong Kong), ahead of the anniversary of the handover of Hong Kong on 1st July. They held up a large Chinese national flag in support of the 'One Country, Two Systems' and the legislation of the national security law.",0,crowd size=50,1611094737,no
45,CHN4368,2020-06-25,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (China),Five Demands Movement; Government of China (2017-) Hong Kong Special Administrative Region,6,1,16,156,East Asia,China,Hong Kong,Yuen Long,22.4452,114.023,1,South China Morning Post,Subnational,"On 25 June 2020, protesters marched around YOHO Mall in Yuen Long District (Hong Kong) to protest against the impending national security law. They chanted slogans and held banners with anti-ELAB slogans, and marched around the mall chanting 'Give me back my justice'. During the demonstration, two protesters waving colonial flag and chanting slogans were taken away by plainclothes police officers. The police then fired pepper spray to keep demonstrators at bay. A pro-democracy district councillor was reportedly hit by the pepper spray. At least 14 people (9 men, 5 women) were arrested.",0,crowd size=at least 14,1687985750,yes
48,CHN4360,2020-06-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Apple Daily Hong Kong,Subnational,"On 24 June 2020, more than 20 people held a 'Lunch with You, Write with You' rally at IFC Mall in Central and Western District (Hong Kong). They chanted slogans, sang the anti-ELAB protest anthem 'Glory to Hong Kong' and called for the five demands. A demonstrator also waved the Hong Kong colonial-era flag during the demonstration. Some demonstrators also wrote letters to convicted demonstrators currently serving their jail term, encouraging them to hold on to their ideals.",0,crowd size=more than 20,1611094731,yes
49,CHN4359,2020-06-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Civil Force (Hong Kong),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 24 June 2020, at least 6 members of the Civil Force demonstrated outside the government headquarters in Central and Western District (Hong Kong), urging the government to conduct an investigation and severely punish and disqualify district councillors and legislators who do not support the legislation of the national security law and the Basic Law. They criticised district councillors and legislators who had disregarded the decision of the National People's Congress and committed acts of disorder in Hong Kong and opposed the legislation of the national security law.",0,crowd size=at least 6,1611094732,no
50,CHN4361,2020-06-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region; CP: Civic Party (Hong Kong); DP: Democratic Party (Hong Kong),6,0,60,156,East Asia,China,Hong Kong,Kowloon City,22.3052,114.187,1,Inmediahk.net,Subnational,"On 24 June 2020, members of the 'Wong Tai Sin Joint Government' (made up of 25 pro-democracy Wong Tai Sin district councillors including members of the DP and CP) demonstrated at the Housing Authority headquarters in Kowloon City District (Hong Kong), to protest against the planned 25 per cent increase in rent for public housing, effective September 2020. They stated that citizens at the grassroots level would be squeezed by the increase and demanded for a freeze on rent.",0,crowd size=no report,1611094733,no
51,CHN4358,2020-06-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 24 June 2020, more than 10 members of an anti-LGBT group 'Family Build in Love' demonstrated outside the Legislative Council in Central and Western District (Hong Kong), to oppose the North District Council's decision to become the supporting organization for the 2020 Hong Kong Pride Parade. They stated that the district councils should be discussing issues with the residents in the districts and questioned the use of public funds to support controversial issues. They reiterated their opposition to same sex marriage.",0,crowd size=more than 10,1611094733,no
58,CHN8597,2020-06-23,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ta Kung Pao,Subnational,"On 23 June 2020, at least 9 citizens and members of HKFTU demonstrated outside the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong) to condemn the US government's interference in the internal affairs of China and Hong Kong, especially with the National Security Law in Hong Kong.",0,crowd size=at least 9,1611094735,no
59,CHN4355,2020-06-23,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China); Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,The Stand News,Subnational,"On 23 June 2020, nearly 200 people gathered outside the Court of First Instance in Central and Western District (Hong Kong), in solidarity with the convicted social worker who was appearing at the court for his application for bail pending appeal. They held banners and placards, and held up their social worker registration certificates during the demonstration. After the social worker was granted bail pending appeal by the court, the group chanted anti-ELAB slogans.",0,crowd size=nearly 200,1611094736,yes
63,CHN4348,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Apple Daily Hong Kong,Subnational,"On 22 June 2020, about 10 people (including a Hong Kong tycoon) gathered at IFC Mall in Central and Western District (Hong Kong), in commemoration of the 9th month death anniversary of a 15-year-old girl who died during an anti-ELAB demonstration last year. They held banners with anti-ELAB slogans and chanted slogans. A demonstrator also hanged a banner with the slogan for 'Hong Kong independence'.",0,crowd size=about 10,1611094731,yes
64,CHN4349,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),HKFTU: Hong Kong Federation of Trade Unions; Labor Group (China); Government of China (2017-) Hong Kong Special Administrative Region,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 22 June 2020, at least 23 members (including a HKFTU legislator, and members of a concern group for cross-border families) demonstrated at the government headquarters in Central and Western District (Hong Kong). They urged the government to implement the health code, which would be mutually recognized by Hong Kong, Macau and Guangdong, as soon as possible. They also stated that the cost of testing for the coronavirus is ten times higher than that in Macau and the Mainland, and urged the government to reduce the cost.",0,crowd size=at least 23,1611094732,no
65,CHN4351,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China); Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Sham Shui Po,22.3289,114.1586,1,Ming Pao,Subnational,"On 22 June 2020, about 200 people (including members of the Hong Kong Social Workers' General Union) demonstrated outside the Lai Chi Kok Reception Centre in Sham Shui Po District (Hong Kong), in solidarity with a member of the Reclaiming Social Work Movement was found guilty and sentenced to one year in prison for obstructing the police during the anti-ELAB demonstrations last year. They held placards calling for the five demands and 'to protect justice and protect lives'. Some social workers also held up their social worker registration certificate.",0,crowd size=about 200,1611094734,yes
66,CHN4350,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Federation of Public Housing Estates,6,0,60,156,East Asia,China,Hong Kong,Kowloon City,22.3052,114.187,1,RTHK,Subnational,"On 22 June 2020, at least 8 members of the Federation of Public Housing Estates demonstrated at the Housing Authority Headquarters in Kowloon City District (Hong Kong), urging the Housing Authority to increase the proportion of White Form Home Ownership Scheme flats from 40 per cent to 50 per cent, stating that the demand of White Form applicants has increased.",0,crowd size=at least 8,1611094735,no
67,CHN8556,2020-06-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ta Kung Pao,Subnational,"On 22 June 2020, a legislative councillor along with some civic groups demonstrated at the Hong Kong Bar Association (HKBA) in Central and Western District (Hong Kong), demanding that the HKBA punish the behaviour of the legislative councillor who had forcibly pulled the press pass of a journalist who was interviewing her.",0,crowd size=no report,1611094735,no
75,CHN4339,2020-06-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Sha Tin,22.3779,114.1981,1,Ming Pao; Apple Daily Hong Kong,Subnational,"On 21 June 2020, about 20 demonstrators held a 'Shop with You' rally in New Town Plaza in Sha Tin District (Hong Kong). They chanted anti-ELAB slogans during the demonstration. This was one of several 'Shop with You' rallies held across Hong Kong on the same day.",0,crowd size=about 20,1611094729,yes
76,CHN4340,2020-06-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Yau Tsim Mong,22.3201,114.1692,1,Apple Daily Hong Kong; Ming Pao,Subnational,"On 21 June 2020, more than 100 people held a 'Shop with You' rally at MOKO in Yau Tsim Mong District (Hong Kong). They chanted slogans, held banners and sang the anti-ELAB protest anthem 'Glory to Hong Kong'. They also held up the gesture calling for the five demands. The crowd later moved to Langham Palace in the same district to continue chanting slogans. It was reported that during this period, a reporter was attacked by a woman (a onlooker) who also grabbed the reporter's camera. This was one of several 'Shop with You' rallies held across Hong Kong on the same day.",0,crowd size=more than 100,1611094729,yes
77,CHN4338,2020-06-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong; Government of China (2017-) Hong Kong Special Administrative Region,6,0,60,156,East Asia,China,Hong Kong,Islands,22.2874,113.9425,1,HK01,Subnational,"On 21 June 2020, a group of residents from Lantau Island and Ma Wan (joined by members of the DAB, including a legislator) drove from a carpark in Sunny Bay to Lantau Link Toll Plaza in Islands District (Hong Kong), to protest and request the authorities to revoke the Lantau Link toll fee. They stated that the toll fee is unfair to residents of Lantau and Ma Wan as Lantau Link is their only point of entry and exit. They added that the despite the rapid growth in population on Lantau Island, public transportation infrastructure had remained limited.",0,crowd size=a group,1611094732,no
78,CHN4336,2020-06-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ming Pao,Subnational,"On 21 June 2020, demonstrators held an anti-ELAB 'Shop with You' rally at The Westwood in Central and Western District (Hong Kong). They played songs and shouted slogans. This was one of several 'Shop with You' rallies held across Hong Kong on the same day.",0,crowd size=no report,1611094734,yes
79,CHN4341,2020-06-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Yuen Long,22.4452,114.023,1,Ming Pao,Subnational,"On 21 June 2020, dozens of people held a 'Shop with You' rally at YOHO Mall in Yuen Long District (Hong Kong). They waved flags and chanted anti-ELAB slogans during the demonstration. Police were nearby on alert in the area, but did not intervene. This was one of several 'Shop with You' rallies held across Hong Kong on the same day.",0,crowd size=dozens,1611094734,yes
80,CHN4337,2020-06-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Wen Wei Po,Subnational,"On 21 June 2020, at least 6 members of the DAB demonstrated outside the government headquarters in Central and Western District (Hong Kong), calling on the government to formulate a roster of 'unethical' teachers which would be consulted by schools during the hiring of teachers to avoid recruiting 'unethical' teachers. They also urged the government to rebuild the teaching profession, strengthen moral education, and adjust the mechanism to punish 'unethical' teachers. This was in response to recent statistics released that about 80 teachers had been arrested for participating in anti-ELAB demonstrations between June 2019 and April 2020.",0,crowd size=at least 6,1611094737,no
82,CHN4315,2020-06-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ming Pao; Ta Kung Pao,Subnational,"On 20 June 2020, over 10 citizens demonstrated outside the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong) to condemn the US government's interference in the internal affairs of China and Hong Kong, especially with the National Security Law in Hong Kong. A second group of about 13 members of the 'Golden Bauhinia Anti-Independence Group' also protested at the Consulate General for the same reasons.",0,crowd size=over 23,1611094729,no
83,CHN4316,2020-06-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong,6,0,60,156,East Asia,China,Hong Kong,Wan Chai,22.2776,114.175,1,RTHK,Subnational,"On 20 June 2020, at least 7 members of various district organizations (including 3 members of the DAB) demonstrated at the Electoral Affairs Commission in Wan Chai District (Hong Kong), calling on the Commission to improve the legislative arrangements for the upcoming Legislative Council elections in September 2020. They held banners and chanted slogans, stating that the district council elections held last year was unfair, due to its use of manual checks of IDs, which made the queue longer and more difficult for elderly voters.",0,crowd size=at least 7,1611094735,no
84,CHN8555,2020-06-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Kowloon City,22.3052,114.187,1,Ta Kung Pao,Subnational,"On 20 June 2020, the Anti-Black Gold and Anti-Hong Kong Independence Concern group demonstrated at Jimmy Lai's (founder of Next Digital) residence in Kowloon City (Hong Kong), criticising him for colluding with foreign powers to intervene in Hong Kong affairs.",0,crowd size=no report,1611094735,no
88,CHN4314,2020-06-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement; Students (China),6,0,60,156,East Asia,China,Hong Kong,Kwun Tong,22.3109,114.2233,1,Apple Daily Hong Kong; Inmediahk.net,Subnational,"On 19 June 2020, more than 100 people (including students in uniforms) held a joint-school 'Sing with You' rally at apm in Kwun Tong District (Hong Kong). They chanted slogans, sang the anti-ELAB protest anthem 'Glory to Hong Kong', and called on the public to participate in the referendum for the the national security law strike the next day. It was reported that the riot police were stationed at multiple entrances and exits of the mall to intercept black-clad youth and middle school students.",0,crowd size=more than 100,1611094729,yes
89,CHN4313,2020-06-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),AI: Amnesty International; The Alliance: Hong Kong Alliance in Support of Patriotic Democratic Movements of China; HKCTU: Hong Kong Confederation of Trade Unions; Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 19 June 2020, the Hong Kong branch of Amnesty International, members of The Alliance and HKCTU demonstrated at the Hong Kong Liaison Office in Central and Western District (Hong Kong), against the legislation of the national security law in Hong Kong. They chanted slogans and read a statement, criticising the national security for its 'destructive' violation of human rights. They also criticised the lack of consultation with the people of Hong Kong on the law, which 'tramples' on the freedom of Hong Kong people. Amnesty International also pleged to stage demonstrations at the Chinese embassies around the world.",0,crowd size=no report,1611094732,no
